"gene_id","logFC","AveExpr","t","P.Value","FDR","B","ENTREZID","SYMBOL","strict_DEG","direction","label_final","label_score"
"G10090_27614",1.29944984911809,3.40743533942371,8.66949488210476,4.74965698914214e-09,5.82655655601458e-08,10.6641553429471,"69071","Tmem97",TRUE,"Up","Tmem97",9.40098432878358
"G10090_28811",0.639096085906193,4.17976409798712,8.66936239688131,4.75104808963651e-09,5.82655655601458e-08,10.5534916458975,"235559","Topbp1",FALSE,"Not_strict","Topbp1",4.62359689546205
"G10090_18604",3.3425518572897,-1.22696395266577,8.66912044974729,4.75358962490271e-09,5.82655655601458e-08,10.6153863751748,"72080","Sapcd2",TRUE,"Up","Sapcd2",24.1819856686683
"G10090_15608",-0.704061364516839,4.01592760242922,-8.6689505069177,4.75537562534067e-09,5.82655655601458e-08,10.5497739770775,"71147","Oxsm",FALSE,"Not_strict","Oxsm",5.09359392270264
"G10090_31297",-1.21319735467968,0.108660922864056,-8.66584666981291,4.78811667540346e-09,5.86165421229246e-08,10.8530128342707,"102640043","Gm36210",TRUE,"Down","Gm36210",8.77381876830439
"G10090_8410",1.03277901797351,4.49301083900538,8.66166845458079,4.83255687506992e-09,5.9110018324039e-08,10.5315257800753,"269233","Fam171a1",TRUE,"Up","Fam171a1",7.46527675693936
"G10090_8806",-0.825569010727582,2.02525510990984,-8.6582837656403,4.86886747484515e-09,5.95032984052169e-08,10.7681264393027,"73166","Tm7sf2",FALSE,"Not_strict","Tm7sf2",5.96511500537787
"G10090_21814",2.30353699340655,5.22159724254247,8.6555881535623,4.89798611272876e-09,5.98080881051717e-08,10.5703094400143,"13723","Emb",TRUE,"Up","Emb",16.6390007377531
"G10090_4517",-0.800181145751554,3.66967051443656,-8.65495959227551,4.90480165888202e-09,5.98379543870905e-08,10.5537120974229,"214932","Hdhd5",FALSE,"Not_strict","Hdhd5",5.77972702927904
"G10090_12342",0.810535876617613,2.45688981442859,8.65459176820025,4.90879452522146e-09,5.98379543870905e-08,10.7275489974782,"68708","Rabl2",FALSE,"Not_strict","Rabl2",5.85451949119248
"G10090_17700",0.94875143255615,3.02705428474805,8.65313343244716,4.92465818508578e-09,5.99480971293778e-08,10.6603788624714,"18516","Pbx3",FALSE,"Not_strict","Pbx3",6.85209593331792
"G10090_3535",-1.18579281756697,6.40225998271985,-8.65299122075119,4.92620796758775e-09,5.99480971293778e-08,10.5606810392921,"69875","Ndufa11",TRUE,"Down","Ndufa11",8.56406205481788
"G10090_9080",0.92954486731193,3.21860913304545,8.64985559265821,4.96050673015922e-09,6.03141986536182e-08,10.628912011169,"230234","Abitram",FALSE,"Not_strict","Abitram",6.71092394021929
"G10090_16195",-1.30056621691747,0.888662578840019,-8.64904859393277,4.96937362703527e-09,6.03707181464361e-08,10.8241247315073,"63954","Rbp7",TRUE,"Down","Rbp7",9.38901337354948
"G10090_9960",1.32424625098453,5.63660849002931,8.64827295203879,4.97791133304119e-09,6.0423145960265e-08,10.5187557795528,"22151","Tubb2a",TRUE,"Up","Tubb2a",9.55946442252651
"G10090_8534",1.37669216747144,3.36031361781398,8.64648637491556,4.99763404569914e-09,6.06111362949155e-08,10.6221314187983,"20583","Snai2",TRUE,"Up","Snai2",9.93620354435299
"G10090_17379",-1.11559282960446,5.56936818807873,-8.645265178786,5.01116146240288e-09,6.06837192426126e-08,10.4705177588919,"54405","Ndufa1",TRUE,"Down","Ndufa1",8.05115291617215
"G10090_13388",1.15817376514794,6.78077669428027,8.6451806211533,5.01209951399400e-09,6.06837192426126e-08,10.5936018318563,"29875","Iqgap1",TRUE,"Up","Iqgap1",8.35845645405498
"G10090_2402",-0.434414661720112,4.92128489163214,-8.6441119503324,5.0239705137098e-09,6.07760287588343e-08,10.4426589506352,"102791","Tcta",FALSE,"Not_strict","Tcta",3.13485248356609
"G10090_23738",1.98484774677195,11.8958784409671,8.64273321068922,5.03932848948896e-09,6.08884661681166e-08,10.7759559311339,"20692","Sparc",TRUE,"Up","Sparc",14.3215993797812
"G10090_16302",1.58274089841725,4.76868559077178,8.64251403755765,5.04177432808456e-09,6.08884661681166e-08,10.5050023671048,"72318","Cyth4",TRUE,"Up","Cyth4",11.4202115028681
"G10090_11232",1.3168827873041,2.4006616455959,8.64101064272387,5.05858419507356e-09,6.10399649373505e-08,10.7172611379698,"69993","Chn2",TRUE,"Up","Chn2",9.50050038159417
"G10090_835",-1.11160723681823,2.67096867215607,-8.63849368689166,5.08685592926185e-09,6.13293978126928e-08,10.6497869161678,"216613","Ccdc85a",TRUE,"Down","Ccdc85a",8.01727966695073
"G10090_5407",-0.852881228956727,4.47952998552322,-8.63779225107259,5.09476369202868e-09,6.13730329937899e-08,10.444040542116,"68927","Ptcd2",FALSE,"Not_strict","Ptcd2",6.15099853953465
"G10090_32514",-0.62957724006418,5.49099209410111,-8.63402760475406,5.13742134903465e-09,6.17934740279842e-08,10.4370441383218,"81018","Rnf114",FALSE,"Not_strict","Rnf114",4.53865845384615
"G10090_6345",-0.882602753776151,3.96401933537948,-8.63395025950161,5.13830159271198e-09,6.17934740279842e-08,10.4769847378374,"72113","Adck1",FALSE,"Not_strict","Adck1",6.36273390284195
"G10090_28225",2.53801812196262,-0.171095211790676,8.62857982321671,5.19980128487427e-09,6.24805677479729e-08,10.7132143469645,"66570","Cenpm",TRUE,"Up","Cenpm",18.2845298284078
"G10090_24134",-0.529868195391138,4.30788929943366,-8.62706561069253,5.217277583601e-09,6.26379693782835e-08,10.4308078038041,"67871","Mrrf",FALSE,"Not_strict","Mrrf",3.81672662482545
